text	start	duration	sequence_id	sentence
all	0.071	0.10000000000000002	0	 all we're asking, and so I ask for an aye vote on this amendment.
we're	0.192	0.15999999999999998	0	 all we're asking, and so I ask for an aye vote on this amendment.
asking,	0.493	0.381	0	 all we're asking, and so I ask for an aye vote on this amendment.
and	1.376	0.08000000000000007	0	 all we're asking, and so I ask for an aye vote on this amendment.
so	1.476	0.15999999999999992	0	 all we're asking, and so I ask for an aye vote on this amendment.
I	1.697	0.07999999999999985	0	 all we're asking, and so I ask for an aye vote on this amendment.
ask	1.897	0.1609999999999998	0	 all we're asking, and so I ask for an aye vote on this amendment.
for	2.098	0.1200000000000001	0	 all we're asking, and so I ask for an aye vote on this amendment.
an	2.279	0.040000000000000036	0	 all we're asking, and so I ask for an aye vote on this amendment.
aye	2.519	0.10099999999999998	0	 all we're asking, and so I ask for an aye vote on this amendment.
vote	2.68	0.3009999999999997	0	 all we're asking, and so I ask for an aye vote on this amendment.
on	3.744	0.09999999999999964	0	 all we're asking, and so I ask for an aye vote on this amendment.
this	3.904	0.16100000000000048	0	 all we're asking, and so I ask for an aye vote on this amendment.
amendment.	4.145	0.5220000000000002	0	 all we're asking, and so I ask for an aye vote on this amendment.
Don't	5.349	0.2610000000000001	1	Don't keep
keep	5.69	0.20099999999999962	1	Don't keep
